1;1;Никифорова;Анна;Семеновна;94d5ous@gmail.com;uzWC67
2;1;Стелина;Евгения;Петровна;uth4iz@mail.com;2L6KZG
3;1;Михайлюк;Анна;Вячеславовна;5d4zbu@tutanota.com;rwVDh9
4;2;Ситдикова;Елена;Анатольевна;ptec8ym@yahoo.com;LdNyos
5;2;Ворсин;Петр;Евгеньевич;1qz4kw@mail.com;gynQMT
6;2;Старикова;Елена;Павловна;4np6se@mail.com;AtnDjr
7;3;Никифорова;Весения;Николаевна;yzls62@outlook.com;JlFRCZ
8;3;Сазонов;Руслан;Германович;1diph5e@tutanota.com;8ntwUp
9;3;Одинцов;Серафим;Артёмович;tjde7c@yahoo.com;YOyhfR
10;3;Степанов;Михаил;Артёмович;wpmrc3do@tutanota.com;RSbvHv
